date,pr_CA_mmday,tas_CA_C,nino34,enso_phase,source_id,month,year
1850-01-15 12:00:00,3.6020366504219385,7.51324873100873,0.6948669886818001,El Nino,CESM2,1,1850
1850-02-14 00:00:00,4.404607385822361,8.449012926315106,0.7508700258715209,El Nino,CESM2,2,1850
1850-03-15 12:00:00,2.867157172462366,11.264229750014863,0.7856292654271215,El Nino,CESM2,3,1850
1850-04-15 00:00:00,0.8275855371709258,13.839855089733533,0.9189347767269396,El Nino,CESM2,4,1850
1850-05-15 12:00:00,0.523255907144902,15.732176829213529,1.0710436679202757,El Nino,CESM2,5,1850
1850-06-15 00:00:00,0.48997092204984344,18.943891533357657,1.1538481128100557,El Nino,CESM2,6,1850
1850-07-15 12:00:00,0.1851675741515574,22.758043185044357,1.2297748202835805,El Nino,CESM2,7,1850
1850-08-15 12:00:00,0.15758885954267363,21.537793509216783,1.313663916292569,El Nino,CESM2,8,1850
1850-09-15 00:00:00,0.7911206215510531,20.81732573245256,1.3500298017965862,El Nino,CESM2,9,1850
1850-10-15 12:00:00,0.5328289885043549,16.434897470306623,1.309431967461785,El Nino,CESM2,10,1850
1850-11-15 00:00:00,1.0953918398107978,9.520272151251106,1.3117312537723251,El Nino,CESM2,11,1850
1850-12-15 12:00:00,2.587350488530482,7.727736836542306,1.3311326026018377,El Nino,CESM2,12,1850
1851-01-15 12:00:00,3.8249924246097278,6.547315529247328,1.3167045535797002,El Nino,CESM2,1,1851
1851-02-14 00:00:00,1.8549389173408926,6.881850843768973,1.1880598590314322,El Nino,CESM2,2,1851
1851-03-15 12:00:00,4.4213680527124914,10.284178377734577,0.98445966632396,El Nino,CESM2,3,1851
1851-04-15 00:00:00,2.029232244510312,12.8883211448819,0.6797457961495865,El Nino,CESM2,4,1851
1851-05-15 12:00:00,1.3454771549349902,15.641479303887877,0.3288401359492809,Neutral,CESM2,5,1851
1851-06-15 00:00:00,0.40197533545004005,20.548595084003125,-0.2879538889068158,Neutral,CESM2,6,1851
1851-07-15 12:00:00,0.2811364844618486,21.304901774192388,-0.9399324692006189,La Nina,CESM2,7,1851
1851-08-15 12:00:00,0.322965604835392,24.593366205773805,-1.5780434301498985,La Nina,CESM2,8,1851
1851-09-15 00:00:00,0.12458468882678828,19.700075222292753,-2.1821629654465937,La Nina,CESM2,9,1851
1851-10-15 12:00:00,0.32874836140108005,16.267928559764755,-2.7526364903172746,La Nina,CESM2,10,1851
1851-11-15 00:00:00,0.6232930858256464,11.632286923060576,-3.0404595908373153,La Nina,CESM2,11,1851
1851-12-15 12:00:00,1.0884086967545008,6.803464535674095,-3.1120021038930874,La Nina,CESM2,12,1851
1852-01-15 12:00:00,3.530634400544965,7.454315742695314,-2.941416635640439,La Nina,CESM2,1,1852
1852-02-14 00:00:00,3.7149173757313485,7.51350340754243,-2.777651086896128,La Nina,CESM2,2,1852
1852-03-15 12:00:00,2.6960920248840656,10.832596907788457,-2.5725914899706708,La Nina,CESM2,3,1852
1852-04-15 00:00:00,0.6479801805519002,12.534270843912907,-2.271032598872728,La Nina,CESM2,4,1852
1852-05-15 12:00:00,0.3440137956047628,17.633009145226822,-1.9338752612267514,La Nina,CESM2,5,1852
1852-06-15 00:00:00,0.11566618992915997,20.532788373024516,-1.7469540120534817,La Nina,CESM2,6,1852
1852-07-15 12:00:00,0.2601147423317643,23.191552995097425,-1.4509674886837387,La Nina,CESM2,7,1852
1852-08-15 12:00:00,0.35527429167885394,22.329062645343242,-1.1971225656365392,La Nina,CESM2,8,1852
1852-09-15 00:00:00,0.5149740927662777,20.234465779945253,-1.0597232169071957,La Nina,CESM2,9,1852
1852-10-15 12:00:00,0.8288222918060484,16.405710513783333,-1.0151163108539323,La Nina,CESM2,10,1852
1852-11-15 00:00:00,1.587580669372371,10.508711857048695,-0.991051675460153,La Nina,CESM2,11,1852
1852-12-15 12:00:00,4.173516932895177,7.975344488730343,-0.9794626763350152,La Nina,CESM2,12,1852
1853-01-15 12:00:00,1.6490830695108047,3.817958700483132,-0.9892840529389787,La Nina,CESM2,1,1853
1853-02-14 00:00:00,0.8930072413114871,3.8255133300758644,-0.9796291030309476,La Nina,CESM2,2,1853
1853-03-15 12:00:00,2.9607826726995032,10.79224299703418,-0.9079831461048229,La Nina,CESM2,3,1853
1853-04-15 00:00:00,0.45753559635642166,12.72474880777736,-0.7314312938414105,La Nina,CESM2,4,1853
1853-05-15 12:00:00,0.5712875157288688,16.32424781752917,-0.5482212247364828,La Nina,CESM2,5,1853
1853-06-15 00:00:00,0.21762799469331337,19.906564144365973,-0.32485171993538414,Neutral,CESM2,6,1853
1853-07-15 12:00:00,0.1571067921769031,22.10152880115794,-0.08389247618096078,Neutral,CESM2,7,1853
1853-08-15 12:00:00,0.14974683292224195,20.66551281866498,0.0881900891199507,Neutral,CESM2,8,1853
1853-09-15 00:00:00,0.7642637021599498,20.15650656347617,0.14507188439590663,Neutral,CESM2,9,1853
1853-10-15 12:00:00,0.7559730633648271,16.49459906782863,0.12302693546278079,Neutral,CESM2,10,1853
1853-11-15 00:00:00,1.1952468153715812,9.848025194570084,0.008331288514489188,Neutral,CESM2,11,1853
1853-12-15 12:00:00,3.1534864766742987,6.432910746011373,-0.1544525471728889,Neutral,CESM2,12,1853
