source_id,enso_phase,mean_pr_mmday,std_pr_mmday,mean_tas_C,std_tas_C,n_months
CESM2,El Nino,3.300501839499978,1.7079941999754549,7.864897124829593,1.4980071222868132,127
CESM2,La Nina,2.5168450724830893,1.3527644884728232,7.240488330696381,1.69599098908809,257
CESM2,Neutral,2.650835031824479,1.515083535067446,7.264105286692236,1.666292459509344,111
GFDL-ESM4,El Nino,3.416059811016166,2.072431822415576,5.486781230439687,1.4506790599755386,99
GFDL-ESM4,La Nina,2.670333768177636,1.5178055827133126,4.993252844499909,1.740923303896614,259
GFDL-ESM4,Neutral,2.7676550245944163,1.6352373577081247,5.434940586675427,1.7032556686851459,137
MPI-ESM1-2-HR,El Nino,4.181670316255531,2.226681144242117,5.912397173143661,1.2149438222784557,73
MPI-ESM1-2-HR,La Nina,3.266574556479723,1.878542902045223,5.3705902750867285,1.6780277684200486,203
MPI-ESM1-2-HR,Neutral,3.6527811101568446,2.1248087914720886,5.631737070503517,1.6141693724569313,219
